title,author,average_rating,number_of_ratings,genres
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.28,"501,912","['Nonfiction', 'Classics', 'Memoir', 'Biography', 'Autobiography', 'Poetry', 'Feminism']"
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,4.26,"83,595","['Religion', 'Nonfiction', 'Lds', 'Church', 'Spirituality', 'Classics', 'History']"
"Moby-Dick or, the Whale",Herman Melville,3.53,"535,225","['Classics', 'Fiction', 'Literature', 'Adventure', 'Historical Fiction', 'Novels', 'American']"
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.9,"2,249,143","['Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Historical Fiction', 'Suspense', 'Adventure']"
Great Expectations,Charles Dickens,3.79,"763,307","['Classics', 'Fiction', 'Literature', 'Historical Fiction', 'School', 'Novels', '19th Century']"
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4,"242,732","['Classics', 'Fiction', 'Historical Fiction', 'China', 'Literature', 'Historical', 'Asia']"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.45,"305,679","['Nonfiction', 'Biography', 'History', 'Christian', 'Memoir', 'Classics', 'Holocaust']"
Dracula,Bram Stoker,4.01,"1,175,140","['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal']"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.99,"1,153,335","['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']"
The Fault in Our Stars,John Green,4.15,"4,762,958","['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age']"
Matilda,Roald Dahl,4.33,"872,324","['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Middle Grade', 'Young Adult', 'Humor']"
The Perks of Being a Wallflower,Stephen Chbosky,4.22,"1,658,912","['Young Adult', 'Fiction', 'Contemporary', 'Classics', 'Mental Health', 'Realistic Fiction', 'LGBT']"
Brave New World,Aldous Huxley,3.99,"1,742,665","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'School']"
Sense and Sensibility,Jane Austen,4.08,"1,130,053","['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Princess Bride,William Goldman,4.26,"870,253","['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure']"
The Iliad,Homer,3.9,"424,647","['Classics', 'Poetry', 'Fiction', 'Mythology', 'Literature', 'Fantasy', 'Historical Fiction']"
East of Eden,John Steinbeck,4.4,"504,205","['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Novels', 'American', 'Literary Fiction']"
Where the Red Fern Grows,Wilson Rawls,4.1,"388,554","['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Middle Grade', 'Animals']"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,"236,686","['Classics', 'Horror', 'Fiction', 'Short Stories', 'Poetry', 'Mystery', 'Literature']"
Man's Search for Meaning,Viktor E. Frankl,4.37,"626,671","['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Self Help', 'Memoir', 'Biography']"
The Lorax,Dr. Seuss,4.34,"329,447","['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Environment']"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.31,"3,235,667","['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"1,412,133","['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Classics', 'Novels', 'Autistic Spectrum Disorder']"
The Declaration of Independence / The Constitution of the United States,Founding Fathers,4.44,"24,583","['History', 'Nonfiction', 'Politics', 'Classics', 'Philosophy', 'Reference', 'American History']"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"2,355,688","['Fantasy', 'Fiction', 'Epic Fantasy', 'Adult', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure']"
"Watership Down (Watership Down, #1)",Richard  Adams,4.08,"467,564","['Classics', 'Fiction', 'Fantasy', 'Young Adult', 'Animals', 'Childrens', 'Adventure']"
The Bell Jar,Sylvia Plath,4.04,"829,763","['Classics', 'Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Literature', 'Mental Illness']"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.15,"803,616","['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Young Adult', 'Middle Grade', 'Humor']"
The Last Lecture,Randy Pausch,4.26,"334,149","['Nonfiction', 'Memoir', 'Biography', 'Self Help', 'Inspirational', 'Philosophy', 'Autobiography']"
Rebecca,Daphne du Maurier,4.24,"583,293","['Classics', 'Fiction', 'Mystery', 'Gothic', 'Romance', 'Historical Fiction', 'Thriller']"
The Velveteen Rabbit,Margery Williams Bianco,4.29,"250,487","['Classics', 'Childrens', 'Fiction', 'Picture Books', 'Fantasy', 'Animals', 'Young Adult']"
